site_id,status,location_m,long,lat,long_TF,lat_TF,longitude,latitude,SoundExisting,SoundImpact,SoundNatural,NightBrightness
3,discontinued,gps,-77.26314900,38.75875200,TRUE,TRUE,-77.2631490,38.7587520,46.5763,11.8825,34.6938,2.243460
5,active,gps,-77.08712332,38.94932049,TRUE,TRUE,-77.0871233,38.9493205,53.1694,18.3193,34.8501,7.735110
15,resight-only,gps,-77.03804961,39.00970034,TRUE,TRUE,-77.0380496,39.0097003,48.7902,14.5927,34.1974,5.255840
17,discontinued,gps,-76.69493500,38.91189300,TRUE,TRUE,-76.6949350,38.9118930,45.2944,10.9580,34.3364,1.441440
19,discontinued,gps,-76.97725900,38.85669200,TRUE,TRUE,-76.9772590,38.8566920,55.7605,21.1327,34.6278,9.962310
23,discontinued,gps,-76.54745100,38.70187400,TRUE,TRUE,-76.5474510,38.7018740,43.4780,9.1880,34.2900,0.845767
26,discontinued,gps,-77.34451200,38.92377000,TRUE,TRUE,-77.3445120,38.9237700,47.3939,13.0821,34.3118,2.690080
27,discontinued,gps,-77.07441549,38.81048250,TRUE,TRUE,-77.0744155,38.8104825,51.3431,16.7533,34.5897,7.005660
32,active,gps,-77.12201000,38.87952000,TRUE,TRUE,-77.1220100,38.8795200,50.9857,16.2883,34.6973,6.555840
34,discontinued,gps,-77.05675000,38.98585600,TRUE,TRUE,-77.0567500,38.9858560,47.8150,13.2867,34.5282,5.103550
43,active,gps,-77.14392190,38.85101600,TRUE,TRUE,-77.1439219,38.8510160,49.6216,15.2719,34.3497,5.320880
45,discontinued,gps,-77.05318630,38.99400900,TRUE,TRUE,-77.0531863,38.9940090,49.5313,15.1358,34.3955,5.103550
47,discontinued,gps,-77.04083400,38.94006600,TRUE,TRUE,-77.0408340,38.9400660,54.9743,20.2186,34.7557,11.590900
49,discontinued,gps,-77.14316000,38.96936900,TRUE,TRUE,-77.1431600,38.9693690,48.2263,13.6114,34.6149,3.388750
50,active,gps,-76.95419000,39.00645000,TRUE,TRUE,-76.9541900,39.0064500,45.9032,11.3424,34.5607,4.684850
52,active,gps,-76.63943000,39.32939000,TRUE,TRUE,-76.6394300,39.3293900,52.8988,18.0956,34.8032,7.812480
53,resight-only,gps,-77.04004300,38.93557300,TRUE,TRUE,-77.0400430,38.9355730,56.1194,21.5329,34.5864,11.590900
56,active,gps,-76.46323000,39.11332100,TRUE,TRUE,-76.4632300,39.1133210,46.0486,11.1362,34.9124,1.252020
59,discontinued,gps,-77.00135000,38.97400700,TRUE,TRUE,-77.0013500,38.9740070,50.0869,15.5158,34.5711,7.148950
62,discontinued,gps,-77.35725000,38.91561400,TRUE,TRUE,-77.3572500,38.9156140,47.5531,13.3031,34.2500,2.405740
63,active,gps,-76.79460000,38.97406000,TRUE,TRUE,-76.7946000,38.9740600,46.9825,12.6141,34.3684,3.209460
67,resight-only,gps,-77.24935929,38.88850611,TRUE,TRUE,-77.2493593,38.8885061,47.5204,13.1708,34.3496,4.419310
71,resight-only,gps,-77.02159422,39.01339260,TRUE,TRUE,-77.0215942,39.0133926,47.5671,13.2981,34.2690,5.206360
73,discontinued,gps,-77.36724071,38.89278790,TRUE,TRUE,-77.3672407,38.8927879,47.1559,12.9721,34.1838,2.658690
76,discontinued,gps,-76.95266800,39.03227000,TRUE,TRUE,-76.9526680,39.0322700,48.1505,12.9320,35.2185,3.961390
